Date, Time, Luminance, SolarRadiation, ClearSkyRadiation 
2015-12-02,15-16-01,79237.9956245,273.0,513.4809084602532
2015-12-02,15-18-01,74594.3921689,246.0,505.9323268796
2015-12-02,15-20-01,69875.7235467,234.0,498.3548213264405
2015-12-02,15-22-01,81328.8604022,228.0,490.7498274229048
2015-12-02,15-24-01,74621.8456911,202.0,483.11879806749386
2015-12-02,15-26-01,48002.9672519,153.0,475.4632035988089
2015-12-02,15-28-01,21876.7605111,88.0,467.7845320094113
2015-12-02,15-30-01,18480.7100453,67.0,460.0842865617221
2015-12-02,15-32-01,8979.57432889,56.0,452.36399633610245
2015-12-02,15-34-01,3698.5285824,46.0,444.62520104807203
2015-12-02,15-36-01,3658.72083889,46.0,436.8694615952446
2015-12-02,15-38-01,5715.25447733,54.0,429.09835522278524
2015-12-02,15-40-01,7180.90476178,65.0,421.31348629797714
2015-12-02,15-42-01,6680.66870222,76.0,413.5164709779655
2015-12-02,15-44-01,5563.82333333,76.0,405.7089481171151
2015-12-02,15-46-01,4249.49010045,69.0,397.892577005581
2015-12-02,15-48-01,4945.50884445,65.0,390.0690379412076
2015-12-02,15-50-01,4814.57116533,70.0,382.24003268676455
2015-12-02,15-52-01,5347.94903822,81.0,374.4072824208739
2015-12-02,15-54-01,8273.74791111,76.0,366.57253886191137
2015-12-02,15-56-01,8558.14587556,63.0,358.7375691433446
2015-12-02,15-58-01,6827.31170631,39.0,350.9041670839022
2015-12-02,16-00-01,3348.05689209,26.0,343.0741486899155
2015-12-02,16-01-01,2915.78891378,23.0,339.1609859823046
2015-12-02,16-02-01,2056.86342139,18.0,335.2493635159552
2015-12-02,16-03-00,1753.14562933,14.0,331.4046665787968
2015-12-02,16-04-01,1675.76625636,11.0,327.4316798421861
2015-12-02,16-05-01,1609.23400627,9.0,323.52609323583386
2015-12-02,16-06-02,1720.711844,9.0,319.5579673627356
2015-12-02,16-07-02,1825.47535347,9.0,315.65764919580556
2015-12-02,16-08-01,1735.23822827,9.0,311.8252396718272
2015-12-02,16-09-01,1574.69909693,9.0,307.93106951925967
2015-12-02,16-10-01,1458.23573307,9.0,304.04036747110285
2015-12-02,16-11-01,1512.11629307,11.0,300.1533830542417
2015-12-02,16-12-01,2065.77005493,11.0,296.2703678245284
2015-12-02,16-13-01,1976.5932528,11.0,292.39157542237103
2015-12-02,16-14-01,1880.63510382,12.0,288.51725902408265
2015-12-02,16-15-02,1814.80210756,12.0,284.583230779084
2015-12-02,16-16-01,1855.5329568,11.0,280.78310130864935
2015-12-02,16-17-01,2009.70786733,11.0,276.9237800721534
2015-12-02,16-18-01,1899.70986711,9.0,273.069982928087
2015-12-02,16-19-01,1773.93103964,9.0,269.22197713724023
2015-12-02,16-20-01,2056.50662027,9.0,265.38003244729947
2015-12-02,16-22-01,2426.19016089,9.0,257.7154181048707
2015-12-02,16-24-02,2392.87371213,9.0,250.01482766583186
2015-12-02,16-26-01,3016.37047342,9.0,242.47108033890703
2015-12-02,16-28-01,2997.27419573,11.0,234.89591552771094
2015-12-02,16-30-01,3389.70011,11.0,227.35520460134745
2015-12-02,16-32-01,3181.45733556,11.0,219.85135223540348
2015-12-02,16-34-01,3096.52073582,11.0,212.38681993838242
2015-12-02,16-36-01,3231.47252107,11.0,204.9641299689206
2015-12-02,16-38-01,3174.79634418,11.0,197.58586725814908
2015-12-02,16-40-01,3363.17402649,11.0,190.25469423181104
2015-12-02,16-42-01,2967.44118418,11.0,182.97334136441998
2015-12-02,16-44-01,3019.53016569,9.0,175.7446232304166
2015-12-02,16-46-01,2390.94119133,9.0,168.5714404242347
2015-12-02,16-48-00,2929.59602773,9.0,161.51583729495337
2015-12-02,16-50-01,3057.30323467,9.0,154.40379386516312
2015-12-02,16-52-01,3247.79643093,11.0,147.41564980183082
2015-12-02,16-54-01,2995.00644942,11.0,140.4957085049497
